Operation,Plate Barcode,Loop,Repeat,Well ID,Row,Column,Sample Type,Time [hhh:mm:ss.sss],Measurement Time,Point X,Point Y,Exc WL[nm],Ems WL Channel 1[nm],Ems WL Channel 2[nm],Window,Window Start[µs],Signal Channel 1,Signal Channel 2,Result Channel 1,Result Channel 2,Result mP,Result HTRFRatio,Result Ratio,Step,Temperature current[°C]
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B01,2,1,Undefined,000:00:00.000,2024-09-16 20:48:37 -07:00,,,485 / 20,535 / 40,,,,1356658,,1356658,,,,,1,36.9
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B02,2,2,Undefined,000:00:00.712,2024-09-16 20:48:38 -07:00,,,485 / 20,535 / 40,,,,1346305,,1346305,,,,,1,
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B03,2,3,Undefined,000:00:01.414,2024-09-16 20:48:38 -07:00,,,485 / 20,535 / 40,,,,1354901,,1354901,,,,,1,
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B04,2,4,Undefined,000:00:02.122,2024-09-16 20:48:39 -07:00,,,485 / 20,535 / 40,,,,1373934,,1373934,,,,,1,
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B05,2,5,Undefined,000:00:02.824,2024-09-16 20:48:40 -07:00,,,485 / 20,535 / 40,,,,1346370,,1346370,,,,,1,
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B06,2,6,Undefined,000:00:03.540,2024-09-16 20:48:40 -07:00,,,485 / 20,535 / 40,,,,1353360,,1353360,,,,,1,
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B07,2,7,Undefined,000:00:04.243,2024-09-16 20:48:41 -07:00,,,485 / 20,535 / 40,,,,1356309,,1356309,,,,,1,
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B08,2,8,Undefined,000:00:04.950,2024-09-16 20:48:42 -07:00,,,485 / 20,535 / 40,,,,1348033,,1348033,,,,,1,
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B09,2,9,Undefined,000:00:05.657,2024-09-16 20:48:43 -07:00,,,485 / 20,535 / 40,,,,1388994,,1388994,,,,,1,
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B10,2,10,Undefined,000:00:06.361,2024-09-16 20:48:43 -07:00,,,485 / 20,535 / 40,,,,1399010,,1399010,,,,,1,
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B11,2,11,Undefined,000:00:07.068,2024-09-16 20:48:44 -07:00,,,485 / 20,535 / 40,,,,1396653,,1396653,,,,,1,
Fluorescence Intensity Filter 1,V-2024-09-16 20:48:26,1,1,B12,2,12,Undefined,000:00:07.771,2024-09-16 20:48:45 -07:00,,,485 / 20,535 / 40,,,,1380136,,1380136,,,,,1,
